mode,N,cores,trial,real_sec
compute,100,"all",1,0.87
compute,100,"all",2,0.86
compute,100,"all",3,0.85
compute,100,"all",4,0.86
compute,100,"all",5,0.86
compute,100,"0,2",1,0.92
compute,100,"0,2",2,0.89
compute,100,"0,2",3,0.88
compute,100,"0,2",4,0.88
compute,100,"0,2",5,1.40
compute,100,"0,2,4,6",1,1.07
compute,100,"0,2,4,6",2,0.88
compute,100,"0,2,4,6",3,0.89
compute,100,"0,2,4,6",4,0.88
compute,100,"0,2,4,6",5,1.05
compute,100,"0-7",1,0.88
compute,100,"0-7",2,0.87
compute,100,"0-7",3,0.87
compute,100,"0-7",4,0.87
compute,100,"0-7",5,0.88
compute,1000,"all",1,1.02
compute,1000,"all",2,1.01
compute,1000,"all",3,1.25
compute,1000,"all",4,1.06
compute,1000,"all",5,1.05
compute,1000,"0,2",1,53.38
compute,1000,"0,2",2,15.29
compute,1000,"0,2",3,1.10
compute,1000,"0,2",4,1.11
compute,1000,"0,2",5,1.11
compute,1000,"0,2,4,6",1,1.23
compute,1000,"0,2,4,6",2,1.16
compute,1000,"0,2,4,6",3,2.37
compute,1000,"0,2,4,6",4,3.22
compute,1000,"0,2,4,6",5,1.01
compute,1000,"0-7",1,1.06
compute,1000,"0-7",2,1.28
compute,1000,"0-7",3,1.20
compute,1000,"0-7",4,1.47
compute,1000,"0-7",5,1.10
compute,2500,"all",1,1.46
compute,2500,"all",2,1.58
compute,2500,"all",3,1.25
compute,2500,"all",4,1.62
compute,2500,"all",5,1.35
compute,2500,"0,2",1,61.54
compute,2500,"0,2",2,24.95
compute,2500,"0,2",3,2.15
compute,2500,"0,2",4,305.56
compute,2500,"0,2",5,29.91
compute,2500,"0,2,4,6",1,3.06
compute,2500,"0,2,4,6",2,2.53
compute,2500,"0,2,4,6",3,1.66
compute,2500,"0,2,4,6",4,2.45
compute,2500,"0,2,4,6",5,2.55
compute,2500,"0-7",1,1.55
compute,2500,"0-7",2,1.46
compute,2500,"0-7",3,1.43
compute,2500,"0-7",4,1.72
compute,2500,"0-7",5,1.53
