mode,N,cores,trial,real_sec
compute,500,"0,2",1,2.430000
compute,500,"0,2",2,1.930000
compute,500,"0,2",3,17.030000
compute,500,"0,2,4,6",1,1.900000
compute,500,"0,2,4,6",2,1.440000
compute,500,"0,2,4,6",3,4.120000
compute,500,"0-7",1,2.600000
compute,500,"0-7",2,2.040000
compute,500,"0-7",3,2.910000
compute,500,"all",1,2.640000
compute,500,"all",2,2.920000
compute,500,"all",3,2.930000
compute,1000,"0,2",1,3.040000
compute,1000,"0,2",2,2.860000
compute,1000,"0,2",3,3.900000
compute,1000,"0,2,4,6",1,2.830000
compute,1000,"0,2,4,6",2,2.990000
compute,1000,"0,2,4,6",3,1.790000
compute,1000,"0-7",1,3.930000
compute,1000,"0-7",2,2.080000
compute,1000,"0-7",3,2.750000
compute,1000,"all",1,2.770000
compute,1000,"all",2,2.890000
compute,1000,"all",3,2.990000
compute,2500,"0,2",1,4.270000
compute,2500,"0,2",2,544.720000
compute,2500,"0,2",3,902.470000
compute,2500,"0,2,4,6",1,5.060000
compute,2500,"0,2,4,6",2,7.140000
compute,2500,"0,2,4,6",3,8.800000
compute,2500,"0-7",1,2.590000
compute,2500,"0-7",2,2.460000
compute,2500,"0-7",3,2.820000
compute,2500,"all",1,3.730000
compute,2500,"all",2,2.960000
compute,2500,"all",3,4.140000
compute,5000,"0,2",1,902.560000
compute,5000,"0,2",2,316.490000
compute,5000,"0,2",3,209.960000
compute,5000,"0,2,4,6",1,4.330000
compute,5000,"0,2,4,6",2,10.790000
compute,5000,"0,2,4,6",3,18.470000
compute,5000,"0-7",1,3.460000
compute,5000,"0-7",2,5.040000
compute,5000,"0-7",3,3.250000
compute,5000,"all",1,3.080000
compute,5000,"all",2,3.050000
compute,5000,"all",3,2.510000
compute,10000,"0,2",1,904.020000
compute,10000,"0,2",2,901.950000
compute,10000,"0,2",3,902.900000
compute,10000,"0,2,4,6",1,168.370000
compute,10000,"0,2,4,6",2,35.360000
compute,10000,"0,2,4,6",3,116.440000
compute,10000,"0-7",1,4.560000
compute,10000,"0-7",2,19.620000
compute,10000,"0-7",3,4.880000
compute,10000,"all",1,3.620000
compute,10000,"all",2,4.200000
compute,10000,"all",3,8.970000
compute,20000,"0,2",1,902.080000
compute,20000,"0,2",2,903.100000
compute,20000,"0,2",3,901.680000
compute,20000,"0,2,4,6",1,471.350000
compute,20000,"0,2,4,6",2,901.370000
compute,20000,"0,2,4,6",3,902.030000
compute,20000,"0-7",1,32.480000
compute,20000,"0-7",2,40.820000
compute,20000,"0-7",3,18.520000
compute,20000,"all",1,7.400000
compute,20000,"all",2,12.190000
compute,20000,"all",3,6.870000
