label,i_max,t_max,threads,time_sec,normalized
results_test_dynamic16k,1000,8388608,1,17.808300,2.122914791e-09
results_test_dynamic16k,1000,8388608,2,20.389700,2.430641651e-09
results_test_dynamic16k,1000,8388608,4,23.202700,2.765977383e-09
results_test_dynamic16k,1000,8388608,6,27.342500,3.259480000e-09
results_test_dynamic16k,1000,8388608,8,30.192800,3.599262238e-09
results_test_dynamic16k,1000,8388608,12,76.291900,9.094703197e-09
results_test_dynamic16k,1000,8388608,14,84.221900,1.004003286e-08
results_test_dynamic16k,1000,8388608,16,92.079600,1.097674370e-08
results_test_dynamic16k,1000,8388608,32,92.673400,1.104753017e-08
results_test_dynamic16k,10000,1048576,1,17.156900,1.636209488e-09
results_test_dynamic16k,10000,1048576,2,17.804600,1.697978973e-09
results_test_dynamic16k,10000,1048576,4,19.406200,1.850719452e-09
results_test_dynamic16k,10000,1048576,6,21.499800,2.050380707e-09
results_test_dynamic16k,10000,1048576,8,22.055000,2.103328705e-09
results_test_dynamic16k,10000,1048576,12,26.080200,2.487201691e-09
results_test_dynamic16k,10000,1048576,14,27.111100,2.585515976e-09
results_test_dynamic16k,10000,1048576,16,28.142400,2.683868408e-09
results_test_dynamic16k,10000,1048576,32,30.942500,2.950906754e-09
results_test_dynamic16k,50000,131072,1,10.793700,1.646987915e-09
results_test_dynamic16k,50000,131072,2,7.186450,1.096565247e-09
results_test_dynamic16k,50000,131072,4,4.223350,6.444320679e-10
results_test_dynamic16k,50000,131072,6,4.625730,7.058303833e-10
results_test_dynamic16k,50000,131072,8,4.642030,7.083175659e-10
results_test_dynamic16k,50000,131072,12,4.931060,7.524200439e-10
results_test_dynamic16k,50000,131072,14,5.289190,8.070663452e-10
results_test_dynamic16k,50000,131072,16,5.365210,8.186660767e-10
results_test_dynamic16k,50000,131072,32,9.388190,1.432524109e-09
results_test_dynamic16k,100000,65536,1,10.578600,1.614166260e-09
results_test_dynamic16k,100000,65536,2,5.833420,8.901092529e-10
results_test_dynamic16k,100000,65536,4,4.128230,6.299179077e-10
results_test_dynamic16k,100000,65536,6,2.322960,3.544555664e-10
results_test_dynamic16k,100000,65536,8,2.331400,3.557434082e-10
results_test_dynamic16k,100000,65536,12,2.507840,3.826660156e-10
results_test_dynamic16k,100000,65536,14,2.763870,4.217330933e-10
results_test_dynamic16k,100000,65536,16,2.710660,4.136138916e-10
results_test_dynamic16k,100000,65536,32,4.800370,7.324783325e-10
results_test_dynamic16k,1000000,8192,1,15.525600,1.895214844e-09
results_test_dynamic16k,1000000,8192,2,7.646130,9.333654785e-10
results_test_dynamic16k,1000000,8192,4,4.324160,5.278515625e-10
results_test_dynamic16k,1000000,8192,6,3.608490,4.404895020e-10
results_test_dynamic16k,1000000,8192,8,3.360580,4.102270508e-10
results_test_dynamic16k,1000000,8192,12,1.661830,2.028601074e-10
results_test_dynamic16k,1000000,8192,14,1.439080,1.756689453e-10
results_test_dynamic16k,1000000,8192,16,1.198140,1.462573242e-10
results_test_dynamic16k,1000000,8192,32,1.142090,1.394152832e-10
results_test_dynamic16k,5000000,1024,1,10.569500,2.064355469e-09
results_test_dynamic16k,5000000,1024,2,5.550220,1.084027344e-09
results_test_dynamic16k,5000000,1024,4,3.967970,7.749941406e-10
results_test_dynamic16k,5000000,1024,6,3.770740,7.364726562e-10
results_test_dynamic16k,5000000,1024,8,3.667050,7.162207031e-10
results_test_dynamic16k,5000000,1024,12,7.720660,1.507941406e-09
results_test_dynamic16k,5000000,1024,14,8.296800,1.620468750e-09
results_test_dynamic16k,5000000,1024,16,7.753410,1.514337891e-09
results_test_dynamic16k,5000000,1024,32,8.670980,1.693550781e-09
results_test_dynamic16k,10000000,512,1,10.632500,2.076660156e-09
results_test_dynamic16k,10000000,512,2,5.553310,1.084630859e-09
results_test_dynamic16k,10000000,512,4,3.941620,7.698476562e-10
results_test_dynamic16k,10000000,512,6,3.713050,7.252050781e-10
results_test_dynamic16k,10000000,512,8,3.697330,7.221347656e-10
results_test_dynamic16k,10000000,512,12,7.087840,1.384343750e-09
results_test_dynamic16k,10000000,512,14,7.758940,1.515417969e-09
results_test_dynamic16k,10000000,512,16,6.917580,1.351089844e-09
results_test_dynamic16k,10000000,512,32,6.922270,1.352005859e-09
results_test_dynamic16k,50000000,256,1,27.563600,2.153406250e-09
results_test_dynamic16k,50000000,256,2,16.828200,1.314703125e-09
results_test_dynamic16k,50000000,256,4,9.912900,7.744453125e-10
results_test_dynamic16k,50000000,256,6,9.101960,7.110906250e-10
results_test_dynamic16k,50000000,256,8,8.963450,7.002695312e-10
results_test_dynamic16k,50000000,256,12,11.741400,9.172968750e-10
results_test_dynamic16k,50000000,256,14,10.241300,8.001015625e-10
results_test_dynamic16k,50000000,256,16,10.446100,8.161015625e-10
results_test_dynamic16k,50000000,256,32,10.979700,8.577890625e-10
results_test_dynamic16k,100000000,256,1,54.536300,2.130324219e-09
results_test_dynamic16k,100000000,256,2,31.480100,1.229691406e-09
results_test_dynamic16k,100000000,256,4,20.329000,7.941015625e-10
results_test_dynamic16k,100000000,256,6,18.280300,7.140742187e-10
results_test_dynamic16k,100000000,256,8,17.828000,6.964062500e-10
results_test_dynamic16k,100000000,256,12,16.995200,6.638750000e-10
results_test_dynamic16k,100000000,256,14,20.230700,7.902617187e-10
results_test_dynamic16k,100000000,256,16,25.649600,1.001937500e-09
results_test_dynamic16k,100000000,256,32,18.150400,7.090000000e-10
results_test_dynamic1k,1000,8388608,1,17.761400,2.117323875e-09
results_test_dynamic1k,1000,8388608,2,20.447400,2.437520027e-09
results_test_dynamic1k,1000,8388608,4,23.138200,2.758288383e-09
results_test_dynamic1k,1000,8388608,6,27.524400,3.281164169e-09
results_test_dynamic1k,1000,8388608,8,30.330100,3.615629673e-09
results_test_dynamic1k,1000,8388608,12,75.012400,8.942174911e-09
results_test_dynamic1k,1000,8388608,14,85.105900,1.014541388e-08
results_test_dynamic1k,1000,8388608,16,92.197800,1.099083424e-08
results_test_dynamic1k,1000,8388608,32,87.987100,1.048887968e-08
results_test_dynamic1k,10000,1048576,1,17.130700,1.633710861e-09
results_test_dynamic1k,10000,1048576,2,17.923100,1.709280014e-09
results_test_dynamic1k,10000,1048576,4,19.296600,1.840267181e-09
results_test_dynamic1k,10000,1048576,6,20.974100,2.000246048e-09
results_test_dynamic1k,10000,1048576,8,22.051800,2.103023529e-09
results_test_dynamic1k,10000,1048576,12,26.087900,2.487936020e-09
results_test_dynamic1k,10000,1048576,14,27.196400,2.593650818e-09
results_test_dynamic1k,10000,1048576,16,28.074700,2.677412033e-09
results_test_dynamic1k,10000,1048576,32,30.133600,2.873764038e-09
results_test_dynamic1k,50000,131072,1,10.952800,1.671264648e-09
results_test_dynamic1k,50000,131072,2,7.121660,1.086679077e-09
results_test_dynamic1k,50000,131072,4,3.923440,5.986694336e-10
results_test_dynamic1k,50000,131072,6,4.479610,6.835342407e-10
