file,key_type,key,bytes,enc_seq,enc_kernel,enc_mem,dec_seq,dec_kernel,dec_mem
tiny.data,caesar,"3",2048,0.000014,0.000188,0.000468,0.000005,0.000037,0.000032
tiny.data,vigenere,"5 4 12 1 14 24",2048,0.000014,0.000087,0.000035,0.000005,0.000035,0.000033
small.data,caesar,"3",10240,0.000036,0.000099,0.000042,0.000026,0.000020,0.000022
small.data,vigenere,"5 4 12 1 14 24",10240,0.000040,0.000088,0.000041,0.000065,0.000020,0.000028
medium1.data,caesar,"3",51200,0.000287,0.000089,0.000073,0.000132,0.000021,0.000059
medium1.data,vigenere,"5 4 12 1 14 24",51200,0.000281,0.000090,0.000072,0.000140,0.000038,0.000061
medium2.data,caesar,"3",204800,0.000662,0.000085,0.000165,0.000591,0.000026,0.000075
medium2.data,vigenere,"5 4 12 1 14 24",204800,0.000599,0.000097,0.000176,0.000514,0.000026,0.000081
large1.data,caesar,"3",1048576,0.005767,0.000223,0.001366,0.004880,0.000102,0.000621
large1.data,vigenere,"5 4 12 1 14 24",1048576,0.002960,0.000112,0.000695,0.002491,0.000052,0.000338
large2.data,caesar,"3",5242880,0.013894,0.000240,0.000972,0.012387,0.000193,0.000961
large2.data,vigenere,"5 4 12 1 14 24",5242880,0.014084,0.000240,0.000962,0.012387,0.000193,0.000976
huge1.data,caesar,"3",52428800,0.134013,0.001702,0.007752,0.125863,0.001631,0.007591
huge1.data,vigenere,"5 4 12 1 14 24",52428800,0.134238,0.001712,0.007734,0.125882,0.001633,0.007605
huge2.data,caesar,"3",524857600,1.340479,0.014367,0.176606,1.256781,0.014391,0.157811
huge2.data,vigenere,"5 4 12 1 14 24",524857600,1.321291,0.016018,0.075996,1.245314,0.015991,0.077033
