prog,mode,nodes,ppn,total_procs,i_max,t_max,time_sec
./assign3_1,block_1node,1,1,1,1000,1000,0.00186016
./assign3_1_nb,nonblock_1node,1,1,1,1000,1000,0.00192597
./assign3_1,block_1node,1,2,2,1000,1000,0.00183397
./assign3_1_nb,nonblock_1node,1,2,2,1000,1000,0.00194531
./assign3_1,block_1node,1,4,4,1000,1000,0.0022314
./assign3_1_nb,nonblock_1node,1,4,4,1000,1000,0.00215181
./assign3_1,block_1node,1,8,8,1000,1000,0.00210663
./assign3_1_nb,nonblock_1node,1,8,8,1000,1000,0.00219682
./assign3_1,block_1ppn,1,1,1,1000,1000,0.00185891
./assign3_1_nb,nonblock_1ppn,1,1,1,1000,1000,0.0019049
./assign3_1,block_1ppn,2,1,2,1000,1000,0.00537179
./assign3_1_nb,nonblock_1ppn,2,1,2,1000,1000,0.00508294
./assign3_1,block_1ppn,4,1,4,1000,1000,0.00754197
./assign3_1_nb,nonblock_1ppn,4,1,4,1000,1000,0.00812027
./assign3_1,block_1ppn,8,1,8,1000,1000,0.0138312
./assign3_1_nb,nonblock_1ppn,8,1,8,1000,1000,0.0180019
./assign3_1,block_8ppn,1,8,8,1000,1000,0.00232455
./assign3_1_nb,nonblock_8ppn,1,8,8,1000,1000,0.00213311
./assign3_1,block_8ppn,2,8,16,1000,1000,0.019928
./assign3_1_nb,nonblock_8ppn,2,8,16,1000,1000,0.0197318
./assign3_1,block_8ppn,4,8,32,1000,1000,0.0559211
./assign3_1_nb,nonblock_8ppn,4,8,32,1000,1000,0.0577067
./assign3_1,block_8ppn,8,8,64,1000,1000,0.0924365
./assign3_1_nb,nonblock_8ppn,8,8,64,1000,1000,0.0882879
./assign3_1,block_1node,1,1,1,10000,1000,0.0162873
./assign3_1_nb,nonblock_1node,1,1,1,10000,1000,0.0162791
./assign3_1,block_1node,1,2,2,10000,1000,0.00977308
./assign3_1_nb,nonblock_1node,1,2,2,10000,1000,0.00942409
./assign3_1,block_1node,1,4,4,10000,1000,0.00649975
./assign3_1_nb,nonblock_1node,1,4,4,10000,1000,0.00651352
./assign3_1,block_1node,1,8,8,10000,1000,0.00455666
./assign3_1_nb,nonblock_1node,1,8,8,10000,1000,0.00473628
./assign3_1,block_1ppn,1,1,1,10000,1000,0.0163031
./assign3_1_nb,nonblock_1ppn,1,1,1,10000,1000,0.0162387
./assign3_1,block_1ppn,2,1,2,10000,1000,0.0125437
./assign3_1_nb,nonblock_1ppn,2,1,2,10000,1000,0.0125365
./assign3_1,block_1ppn,4,1,4,10000,1000,0.0114068
./assign3_1_nb,nonblock_1ppn,4,1,4,10000,1000,0.0112623
./assign3_1,block_1ppn,8,1,8,10000,1000,0.0190817
./assign3_1_nb,nonblock_1ppn,8,1,8,10000,1000,0.0192124
./assign3_1,block_8ppn,1,8,8,10000,1000,0.00483621
./assign3_1_nb,nonblock_8ppn,1,8,8,10000,1000,0.00490635
./assign3_1,block_8ppn,2,8,16,10000,1000,0.0212657
./assign3_1_nb,nonblock_8ppn,2,8,16,10000,1000,0.0213667
./assign3_1,block_8ppn,4,8,32,10000,1000,0.0613161
./assign3_1_nb,nonblock_8ppn,4,8,32,10000,1000,0.0492208
./assign3_1,block_8ppn,8,8,64,10000,1000,0.0861867
./assign3_1_nb,nonblock_8ppn,8,8,64,10000,1000,0.0926029
./assign3_1,block_1node,1,1,1,100000,1000,0.159741
./assign3_1_nb,nonblock_1node,1,1,1,100000,1000,0.159293
./assign3_1,block_1node,1,2,2,100000,1000,0.0824697
./assign3_1_nb,nonblock_1node,1,2,2,100000,1000,0.0825203
./assign3_1,block_1node,1,4,4,100000,1000,0.0469844
./assign3_1_nb,nonblock_1node,1,4,4,100000,1000,0.0471834
./assign3_1,block_1node,1,8,8,100000,1000,0.0279453
./assign3_1_nb,nonblock_1node,1,8,8,100000,1000,0.0277724
./assign3_1,block_1ppn,1,1,1,100000,1000,0.159424
./assign3_1_nb,nonblock_1ppn,1,1,1,100000,1000,0.159813
./assign3_1,block_1ppn,2,1,2,100000,1000,0.0829768
./assign3_1_nb,nonblock_1ppn,2,1,2,100000,1000,0.0830653
./assign3_1,block_1ppn,4,1,4,100000,1000,0.0491723
./assign3_1_nb,nonblock_1ppn,4,1,4,100000,1000,0.0486133
./assign3_1,block_1ppn,8,1,8,100000,1000,0.0353575
./assign3_1_nb,nonblock_1ppn,8,1,8,100000,1000,0.0376707
./assign3_1,block_8ppn,1,8,8,100000,1000,0.0278004
./assign3_1_nb,nonblock_8ppn,1,8,8,100000,1000,0.0279125
