i_max,t_max,threads,time_sec
1000,8388608,1,17.7185
1000,8388608,2,20.5606
1000,8388608,4,23.4995
1000,8388608,6,26.9904
1000,8388608,8,30.2599
1000,8388608,12,77.2601
1000,8388608,14,82.711
1000,8388608,16,91.5016
10000,1048576,1,17.2315
10000,1048576,2,17.4321
10000,1048576,4,19.6277
10000,1048576,6,20.9882
10000,1048576,8,22.0539
10000,1048576,12,26.0779
10000,1048576,14,27.0444
10000,1048576,16,28.0231
100000,65536,1,11.1171
100000,65536,2,5.44309
100000,65536,4,4.03084
100000,65536,6,2.36119
100000,65536,8,2.45277
100000,65536,12,2.8053
100000,65536,14,2.68645
100000,65536,16,2.7304
1000000,8192,1,15.2134
1000000,8192,2,7.92217
1000000,8192,4,4.33771
1000000,8192,6,3.69611
1000000,8192,8,3.24304
1000000,8192,12,1.6432
1000000,8192,14,1.42236
1000000,8192,16,1.18052
10000000,512,1,10.6038
10000000,512,2,5.54664
10000000,512,4,4.00693
10000000,512,6,3.7134
10000000,512,8,3.69747
10000000,512,12,5.64382
10000000,512,14,6.4077
10000000,512,16,6.02649
100000000,256,1,54.3296
100000000,256,2,28.3284
100000000,256,4,20.0412
100000000,256,6,18.1854
100000000,256,8,17.8339
100000000,256,12,19.742
100000000,256,14,20.3122
100000000,256,16,21.0624

