i_max,t_max,threads,time_sec
1000,8388608,1,17.7686
1000,8388608,2,20.0867
1000,8388608,4,22.8966
1000,8388608,6,26.9543
1000,8388608,8,30.3669
1000,8388608,12,75.3003
1000,8388608,14,84.3189
1000,8388608,16,91.6955
10000,1048576,1,17.1146
10000,1048576,2,17.986
10000,1048576,4,19.2132
10000,1048576,6,20.9794
10000,1048576,8,22.0305
10000,1048576,12,26.0631
10000,1048576,14,27.0995
10000,1048576,16,27.9878
100000,65536,1,10.7753
100000,65536,2,5.35727
100000,65536,4,4.22315
100000,65536,6,2.31968
100000,65536,8,2.45318
100000,65536,12,2.59825
100000,65536,14,2.7523
100000,65536,16,2.93166
1000000,8192,1,15.2438
1000000,8192,2,7.70433
1000000,8192,4,4.35045
1000000,8192,6,3.72399
1000000,8192,8,3.33805
1000000,8192,12,1.66273
1000000,8192,14,1.43374
1000000,8192,16,1.20057
10000000,512,1,10.7608
10000000,512,2,6.13846
10000000,512,4,3.96956
10000000,512,6,3.69858
10000000,512,8,3.63914
10000000,512,12,5.5409
10000000,512,14,5.94679
10000000,512,16,5.05421
