i_max,t_max,threads,time_sec
1000,8388608,1,17.6863
1000,8388608,2,20.4912
1000,8388608,4,23.6819
1000,8388608,6,26.9626
1000,8388608,8,30.3
1000,8388608,12,74.1834
1000,8388608,14,83.2034
1000,8388608,16,92.2941
10000,1048576,1,17.1416
10000,1048576,2,17.9427
10000,1048576,4,19.3339
10000,1048576,6,20.9244
10000,1048576,8,22.0261
10000,1048576,12,26.1001
10000,1048576,14,27.1095
10000,1048576,16,28.1473
100000,65536,1,10.5786
100000,65536,2,5.50175
100000,65536,4,4.12766
100000,65536,6,2.51696
100000,65536,8,2.40132
100000,65536,12,2.54832
100000,65536,14,2.75191
100000,65536,16,2.82565
1000000,8192,1,15.2903
1000000,8192,2,7.50928
1000000,8192,4,4.33837
1000000,8192,6,3.57672
1000000,8192,8,3.12386
1000000,8192,12,1.65264
1000000,8192,14,1.45156
1000000,8192,16,1.1859
10000000,512,1,10.6114
10000000,512,2,6.13418
10000000,512,4,18.0893
10000000,512,6,17.6851
10000000,512,8,17.8199
10000000,512,12,10.776
10000000,512,14,8.942
10000000,512,16,9.06744
100000000,256,1,54.7105
100000000,256,2,29.2083
100000000,256,4,20.3144
100000000,256,6,18.1177
100000000,256,8,17.8145
100000000,256,12,19.3013
100000000,256,14,18.3942
100000000,256,16,20.4198
