i_max,t_max,threads,time_sec
1000,8388608,1,17.5576
1000,8388608,2,41.3561
1000,8388608,4,74.8467
1000,8388608,6,65.9167
1000,8388608,8,122.289
1000,8388608,12,165.586
1000,8388608,14,195.269
1000,8388608,16,229.51
10000,1048576,1,17.1794
10000,1048576,2,16.2589
10000,1048576,4,14.0215
10000,1048576,6,15.0899
10000,1048576,8,17.2723
10000,1048576,12,21.7799
10000,1048576,14,24.6911
10000,1048576,16,27.8223
100000,65536,1,10.483
100000,65536,2,5.93295
100000,65536,4,3.51528
100000,65536,6,2.7906
100000,65536,8,2.51557
100000,65536,12,2.35708
100000,65536,14,2.49416
100000,65536,16,2.78695
1000000,8192,1,15.3595
1000000,8192,2,6.75472
1000000,8192,4,3.59986
1000000,8192,6,2.58012
1000000,8192,8,2.11601
1000000,8192,12,1.53238
1000000,8192,14,1.39746
1000000,8192,16,1.25607
10000000,512,1,10.5676
10000000,512,2,6.01204
10000000,512,4,5.16768
10000000,512,6,3.4203
10000000,512,8,4.20406
10000000,512,12,3.67463
10000000,512,14,3.59969
10000000,512,16,3.81348
